Câu số,Đáp án chọn,Nội dung tóm tắt,Giải thích/Ghi chú
1,d,Có nhiều hàng hóa thay thế ở mức độ cao,Hàng hóa có nhiều sản phẩm thay thế thì cầu càng co dãn (nhạy cảm về giá).
2,d,"MU/P bằng nhau cho mọi hàng hóa",Quy tắc tối đa hóa hữu dụng: MUx/Px = MUy/Py.
3,e,c và d (Thặng dư sản xuất),Thặng dư SX là phần diện tích dưới giá và trên đường cung (MC).
4,b,Đường cung gạo dịch chuyển sang trái và lên trên,Nắng hạn là yếu tố khách quan làm giảm cung (S dịch trái).
5,d,Sản phẩm cận biên nhân với giá sản phẩm,VMP = MP * P.
6,e,b và c (Doanh thu cận biên),MR là doanh thu tăng thêm. Trong cạnh tranh hoàn hảo P = MR.
7,e,a và b (Ràng buộc ngân sách),Thể hiện cơ hội mua sắm và giới hạn chi tiêu <= thu nhập.
8,b,Dài hạn tất cả yếu tố đầu vào thay đổi được,Khác biệt cơ bản giữa ngắn hạn (có yếu tố cố định) và dài hạn.
9,a,Thay thế bằng hàng hóa khác,Khi giá tăng, người dùng chuyển sang mua hàng thay thế (Hiệu ứng thay thế).
10,b,Phân bổ tài nguyên khan hiếm,Định nghĩa cơ bản của Kinh tế học.
11,c,Cầu không co dãn -> Doanh thu tăng,Nông sản cầu không co dãn, khi cung giảm (mất mùa) giá tăng mạnh làm TR tăng.
12,a,Dịch chuyển ra ngoài song song,Thu nhập tăng (I tăng) làm mở rộng khả năng mua sắm mà không đổi độ dốc (giá giữ nguyên).
13,c,Thu nhập tăng -> Mua ít đi,Định nghĩa hàng hóa cấp thấp (Inferior good).
14,c,Sự khan hiếm,Vì nguồn lực khan hiếm nên phải lựa chọn (đánh đổi).
15,c,"MC tăng hàm ý AC tăng (Câu sai)",MC có thể tăng nhưng nếu vẫn nhỏ hơn AC thì AC vẫn giảm.
16,d,Phải giảm lãi suất... (Chuẩn tắc),Kinh tế học chuẩn tắc đưa ra lời khuyên (có từ 'phải', 'nên').
17,e,Tiêu dùng tăng (Giải thích sai),Tiêu dùng chỉ là di chuyển trên đường cầu, không làm dịch chuyển đường PPF (năng lực SX).
18,a,Lượng mua ở mỗi mức giá,Định nghĩa đường cầu cá nhân.
19,c,Co dãn của cầu theo thu nhập,Đo lường % thay đổi lượng cầu do % thay đổi thu nhập.
20,b,Giá hàng hóa A xu hướng giảm,Không rõ ngữ cảnh đầy đủ, nhưng thường liên quan đến hàng bổ sung/thay thế.
21,c,MR là doanh thu nhận được từ đơn vị bán thêm,Định nghĩa Marginal Revenue (MR).
22,c,Thay đổi công nghệ sản xuất,Công nghệ thay đổi làm dịch chuyển đường giới hạn khả năng sản xuất (PPF).
23,a,Độ dốc không đổi - Co dãn thay đổi,Đường cầu tuyến tính (thẳng) có độ dốc hằng số nhưng độ co dãn trượt dọc đường cầu.
24,a,Hàng hóa bình thường,Thu nhập giảm -> Cầu giảm => Hàng bình thường.
25,a,Giá tương đối của các hàng hóa,Độ dốc đường ngân sách = -Px/Py.
26,e,Độ co dãn của cung (b và c),Cầu giảm khi thu nhập giảm liên quan đến loại hàng hóa và độ co dãn thu nhập.
27,d,Phương án thay thế tốt nhất (1h + 100k),Chi phí cơ hội bao gồm cả tiền bạc và thời gian bỏ ra.
28,d,Hiệu suất tăng theo quy mô,Đầu vào tăng gấp đôi -> Đầu ra tăng HƠN gấp đôi.
29,b,Cộng chiều ngang các đường cầu cá nhân,Cầu thị trường = Tổng cầu cá nhân (cộng theo lượng Q).
30,b,Phải thực hiện sự lựa chọn,Do tài nguyên khan hiếm.
31,b,Đường biên dưới các đường SAC,Đường LAC là đường bao của các đường chi phí ngắn hạn.
32,c,Hàng hóa thay thế,Giá X tăng -> Cầu Y tăng => X và Y thay thế nhau.
33,a,Cung không co dãn hoàn toàn,Khi cung thẳng đứng, tăng cung làm giảm giá mạnh.
34,b,Giảm giá thịt bò,Giá bản thân hàng hóa thay đổi chỉ gây trượt dọc, không làm DỊCH CHUYỂN đường cầu.
35,d,Nhỏ hơn 0 (Hàng cấp thấp),Thu nhập tăng mà chi tiêu giảm -> Hàng cấp thấp (Co dãn thu nhập âm).
36,a,Giá cà phê,Giá bản thân hàng hóa thay đổi không làm dịch chuyển đường cầu (chỉ trượt dọc).
37,Chưa rõ,Chưa thấy đáp án trong ảnh,Cần kiểm tra lại ảnh gốc.
38,e,Sự khan hiếm (a và b),Ngắn hạn có yêu tố cố định, dài hạn thì không.
39,b,Bổ sung (Giữa 0 và 1),Hàng thiết yếu thường có độ co dãn thu nhập dương nhưng < 1.
40,d,Thời tiết (Đáp án chọn d sai?),Thời tiết ảnh hưởng đến CUNG (cà phê), không phải CẦU. (Đáp án trong ảnh có sửa chữa).
41,c,Nhóm người bán ứng xử trong cạnh tranh hoàn hảo,Đường cung thị trường là tổng đường MC của các hãng.
42,d,Tất cả đều đúng,Tính chất đường PPF.
43,b,Sản phẩm bổ sung...,MP (Sản phẩm cận biên) là sản phẩm tăng thêm khi thuê thêm 1 input.
45,c,Kinh tế kế hoạch hóa tập trung,Chính phủ quyết định tất cả (cung, cầu, giá).
46,c,Giảm giá yếu tố sản xuất,Chi phí đầu vào giảm -> Lợi nhuận biên tăng -> Khuyến khích SX.
47,a,Quay và trở nên thoải hơn,Giá hàng hóa trục hoành giảm -> Mua được nhiều hơn -> Đường ngân sách thoải ra.
48,a,Tiếp tuyến đường bàng quan,Điểm tối ưu: Đường ngân sách tiếp xúc đường bàng quan (MUx/Px = MUy/Py).
49,b,Lượng cũ vẫn thịnh hành,Khi cung cầu biến động trái chiều cùng lúc, giá hoặc lượng có thể không đổi tùy mức độ.
50,a,Giá cũ vẫn thịnh hành,Tương tự câu 49.
51,e,Doanh thu TB > Chi phí TB,Điều kiện có lãi (P > ATC).
52,d,Câu hỏi Cho ai,Phân phối thu nhập giải quyết vấn đề "Sản xuất cho ai?".
53,c,Cộng lượng mua các cá nhân,Nguyên tắc cộng ngang đường cầu.
54,c,Lãi suất thấp kích thích đầu tư,Câu này mang tính thực chứng (có thể kiểm chứng đúng/sai), không phải lời khuyên (chuẩn tắc).
55,c,Chi phí TB thấp hơn khi quy mô lớn,Tính kinh tế theo quy mô (Economies of scale).
56,b,Lượng cầu giảm 10%,E = %Q / %P = 1/3. Giá tăng 30% -> Lượng giảm 10%.
57,a,Đường ngân sách dịch chuyển song song,Thu nhập tăng -> Dịch chuyển song song ra ngoài.
58,b,Không đổi với các đường cầu khác (Chọn câu SAI),Độ co dãn phụ thuộc vào độ dốc và vị trí trên đường cầu.
59,c,Tổng doanh thu > Tổng chi phí,Để tối đa hóa lợi nhuận thì MR = MC (nhưng đề bài hỏi điều kiện có lãi chung chung).
60,c,Đổi mới công nghệ,Yếu tố làm dịch chuyển tổng cung dài hạn.
61,b,GNP < GDP (Tại VN),Giá trị người nước ngoài tạo ra ở VN > Người VN tạo ra ở nước ngoài.
63,a,Thay đổi tiêu dùng / Thay đổi thu nhập,Định nghĩa MPC (Xu hướng tiêu dùng cận biên).
64,c,Lãi suất và thu nhập,Hàm cầu tiền phụ thuộc lãi suất (i) và thu nhập (Y).
65,c,Cầu tiền Tăng và lãi suất tăng,Chính sách tài khóa mở rộng -> Y tăng -> Cầu tiền tăng -> Lãi suất tăng.
66,c,Tăng chi tiêu quốc phòng (G tăng),G tăng làm AD dịch phải.
67,c,GDP thực tế bình quân đầu người,Thước đo mức sống phổ biến nhất.
68,c,Giá trị tiền giảm một nửa,Giá tăng gấp đôi -> Sức mua của tiền giảm 1 nửa ($1 mua được 1/2 lượng hàng cũ).
69,b,Tổng cầu dịch phải,Nếu tăng thuế (T tăng) -> C giảm -> AD dịch trái. (Ảnh chọn b có thể do đề bài là Giảm thuế?).
70,b,Sản phẩm quốc dân ròng,NNP = GNP - Khấu hao.
71,b,GNP = GDP,Trong nền kinh tế đóng (không có nước ngoài).
72,d,Tất cả (GDP > GNP),Khi thu nhập ròng từ nước ngoài (NIA) âm.
73,c,Nhập khẩu tăng,Thu nhập tăng thường làm nhập khẩu tăng.
74,a,AD cắt AS ngắn hạn và dài hạn,Cân bằng dài hạn tại mức sản lượng tiềm năng.
75,b,Tính theo giá cố định,GDP thực tế tính theo giá so sánh (cố định).
76,a,Chỉ số giá hàng thành phẩm (Trừ ra),Thường dùng CPI hoặc GDP Deflator để đo lạm phát.
77,b,IS dịch chuyển - LM di chuyển,Chính sách tài khóa tác động IS, trượt dọc LM.
78,b,Chính sách tiền tệ (NHTƯ),Mua bán trái phiếu, tỷ lệ dự trữ, lãi suất chiết khấu là công cụ của NHTƯ.
79,b,Dịch chuyển sang phải (Sửa chữa),Nếu "Nới lỏng tiền tệ" -> Cung tiền tăng -> LM dịch phải (hoặc AD dịch phải).
80,b,3.1%,Tốc độ tăng trưởng = (GDP năm sau - GDP năm trước) / GDP năm trước.
82,d,a và b (Giảm cung tiền - Tăng thuế),Để kiềm chế lạm phát cần chính sách thắt chặt (Tiền tệ & Tài khóa).
83,d,Cầu tiền giảm,Thu nhập giảm -> Giao dịch giảm -> Cầu tiền giảm.
84,e,Không có câu đúng,Lực lượng lao động = Người có việc + Thất nghiệp (đang tìm việc). SV/Học sinh không thuộc LLLĐ.
85,b,Tiền mặt + Tiền gửi không kỳ hạn,Định nghĩa cung tiền M1.
86,c,Tiêu dùng > Thu nhập khả dụng,Tiết kiệm âm (Dis-saving) khi tiêu dùng vượt quá thu nhập.
87,c,Chỉ tiêu thực,Tăng trưởng kinh tế tính trên GDP thực (đã loại lạm phát).
89,b,100$,GDP chỉ tính giá trị hàng hóa cuối cùng (đôi giày). Da và chỉ là trung gian. 100$ là chi phí da.
90,e,Tất cả,Sản lượng tiềm năng là mức tối đa mà không gây lạm phát cao, tương ứng thất nghiệp tự nhiên.
91,e,Tính theo giá hiện hành (Không phải tính chất),GNP thực phải tính theo giá cố định.
92,d,Số nhân chi tiêu,Hệ số phản ánh mức thay đổi sản lượng khi tổng cầu tự định thay đổi.
93,c,Máy khâu cũ (Không tính),GDP chỉ tính hàng hóa mới sản xuất trong kỳ, không tính hàng cũ bán lại.
94,c,IS dịch trái (Sửa chữa),Thu nhập giảm -> Tiêu dùng giảm (ảnh hưởng IS).
95,c,Tổng chi tiêu và GDP danh nghĩa,Mô hình AD-AS (Quan hệ P và Y). Ảnh chọn c.
96,a,Mức sống tăng dần khoảng cách,Hiệu ứng lãi suất kép (Tăng trưởng kép).
97,d,Đường AD dịch trái (Sửa sai),Chính sách thắt chặt (TK & TT) làm giảm tổng cầu AD.
98,b,Lao động và nhà máy ở nước ngoài,GNP tính theo sở hữu công dân (bất kể ở đâu).
99,d,Phụ thuộc giá hàng hóa,Tổng chi tiêu phụ thuộc P (trượt dọc AD).
100,d,Thẳng đứng tại Y tiềm năng,Đường AS dài hạn (LRAS) thẳng đứng.
101,e,Tất cả,Các dạng của tiền.
102,a,Tài nguyên dồi dào,Đông Á tăng trưởng (thực tế là do tiết kiệm và đầu tư, ảnh chọn a).
103,c,Ngân sách cân bằng,Thu = Chi.
104,d,Số nhân tổng cầu,K = Delta Y / Delta AD tự định.
105,c,Vẫn còn lạm phát và thất nghiệp,Toàn dụng nhân dụng vẫn có thất nghiệp tự nhiên.
106,c,GNP khác GDP ở NIA,NIA là thu nhập ròng từ nước ngoài.
108,e,Tất cả (Giảm cung tiền),Bán trái phiếu, Tăng dự trữ, Tăng lãi suất -> Giảm cung tiền.
109,b,GDP bình quân (Sửa chữa),Tính toán tăng trưởng kép.
110,Chưa rõ,Ảnh sửa chữa nhiều, chưa rõ đáp án chốt.
111,b,IS dịch phải (Sửa chữa),Tài khóa mở rộng/Tiền tệ mở rộng -> IS/LM dịch phải.
112,d,Tiêu dùng = Thu nhập khả dụng,Điểm vừa đủ (Break-even point) trên hàm tiêu dùng.
113,a,Giá cả hàng hóa (Sửa chữa),Quan điểm cổ điển: AS thẳng đứng, P linh hoạt.
115,d,IS dịch trái... (Macro),Tài khóa thắt chặt -> IS trái.
116,a,IS dốc nhỏ -> Tài khóa mạnh,Độ dốc IS ảnh hưởng hiệu quả chính sách.
117,b,MS=600 i=4%,Bài tập cân bằng thị trường tiền tệ.
118,b,Chi tiêu chính phủ (G),Mua vũ khí, làm đường... là G.
119,c,Chính sách tiền tệ không tác động Y,Trường hợp bẫy thanh khoản hoặc IS thẳng đứng.
120,a,Tăng số nhân tiền,Giảm tỷ lệ dự trữ -> Tăng số nhân -> Tăng cung tiền.
121,b,Y=1700... Y=600...,Bài tập IS-LM.
122,c,Chính sách hỗn hợp,Để giữ i không đổi hoặc Y tăng mạnh.
123,a,Giảm C, Tăng I...,Phân tích tác động chính sách.
124,a,Y=1100 i=6%,Kết quả bài toán IS-LM.
125,a,Tại một mức giá cho trước,Đường tổng cầu AD.
126,e,Tất cả (Gây lạm phát),Tăng cung tiền, tăng chi tiêu... gây áp lực lạm phát.
127,a,Lãi suất cao hơn (Sửa chữa),Chính sách tài khóa mở rộng -> i tăng.
128,d,Y và i giảm...,Tác động của suy thoái hoặc chính sách thắt chặt.
129,b,Trợ cấp kinh doanh,Yếu tố chi phí.
130,e,Tăng lương tối thiểu,Gây thất nghiệp (theo lý thuyết cổ điển) hoặc chi phí đẩy.
132,d,Y=9750 i=7.25%,Bài tập cân bằng IS-LM.
133,a,Phân phối lại của cải,Lạm phát thực tế > Dự kiến: Người đi vay có lợi (trả tiền mất giá).
134,c,Chi tiêu CP thay đổi,Yếu tố làm dịch chuyển AD.